position,true_race,positive,neutral,total,pct_positive,pct_neutral,avg_positive_score
QB,white,77,57,134,57.5,42.5,0.689
QB,nonwhite,25,14,39,64.1,35.9,0.7162
RB,white,22,5,27,81.5,18.5,0.7374
RB,nonwhite,184,46,230,80.0,20.0,0.7099
WR,white,37,19,56,66.1,33.9,0.6892
WR,nonwhite,244,80,324,75.3,24.7,0.6983
TE,white,79,32,111,71.2,28.8,0.6859
TE,nonwhite,61,23,84,72.6,27.4,0.6828
OL,white,160,68,228,70.2,29.8,0.7048
OL,nonwhite,165,42,207,79.7,20.3,0.717
DL,white,26,38,64,40.6,59.4,0.6386
DL,nonwhite,157,219,376,41.8,58.2,0.6448
LB,white,20,62,82,24.4,75.6,0.6703
LB,nonwhite,92,215,307,30.0,70.0,0.624
DB,white,19,15,34,55.9,44.1,0.6372
DB,nonwhite,270,286,556,48.6,51.4,0.6633
ST,white,83,48,131,63.4,36.6,0.7304
ST,nonwhite,9,1,10,90.0,10.0,0.7331
